;Unnamed: 0;brand;name;spec_rating;processor;CPU;Ram;Ram_type;ROM;ROM_type;GPU;display_size;resolution_width;resolution_height;price;OS;warranty
117;122;Lenovo;ThinkBook 15 G5 21JFA00BIN Laptop;70;7th Gen AMD Ryzen 7 7730U;Octa Core, 16 Threads;8GB;DDR4;512GB;SSD;AMD Radeon AMD;15,6;1920;1080;49990;Windows 11 OS;a
118;124;Asus;Vivobook 16 2023 X1605VA-MB947WS Laptop;71;13th Gen Intel Core i9 13900H;14 Cores (6P + 8E), 20 Threads;16GB;DDR4;512GB;SSD;Integrated Intel Iris Xe Graphics;16;1920;1200;80739;Windows 11 OS;a
119;125;Lenovo;Thinkpad E15 G4 21DJA0Y0IN Laptop;64;12th Gen Intel Core i7 1255U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Iris Xe;15,6;1920;1080;62990;Windows 11 OS;a
120;126;HP;Victus 15-fa1132TX Laptop;66;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;62990;Windows 11 OS;a
121;127;HP;Victus 15-fb1017AX Gaming Laptop;71;7th Gen Amd Ryzen 5 7535HS;Hexa Core, 12 Threads;16GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;69501;Windows 11 OS;a
122;129;Lenovo;IdeaPad Slim 5 14IAH8 83BF000UIN Laptop;69;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;LPDDR5;512GB;SSD;Intel UHD Graphics;14;1920;1080;59990;Windows 11 OS;a
123;131;HP;Victus 15-fb1015AX Gaming Laptop;69;7th Gen Amd Ryzen 5 7535HS;Hexa Core, 12 Threads;8GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;54990;Windows 11 OS;a
124;136;Lenovo;LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop;69;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;64990;Windows 11 OS;a
125;138;MSI;Modern 15 B12M-612IN Laptop;60;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Iris Xe;15,6;1920;1080;37729;Windows 11 OS;a
126;139;Lenovo;IdeaPad Gaming 3 82K2025MIN Laptop;69;5th Gen AMD Ryzen 5  5600H;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce GTX 1650;15,6;1920;1080;50712;Windows 11 OS;a
127;140;MSI;Modern 14 C11M-029IN Laptop;62;11th Gen Intel Core i5 1155G7;Quad Core, 8 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Iris Xe;14;1920;1080;44990;Windows 11 OS;a
128;141;Chuwi;CoreBook X Laptop;69;10th Gen Intel Core i3 1005G1;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;14;1920;1200;23990;Windows 11 OS;a
129;142;HP;15s-ey2001AU Laptop;63;5th Gen AMD Ryzen 7   5700U;Octa Core, 16 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Radeon;15,6;1920;1080;49990;Windows 11 OS;a
130;144;HP;Pavilion 15-eg3079TU Laptop;66;13th Gen Intel Core i5 1340p;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Intel Iris Xe Graphics;15,6;1920;1080;72990;Windows 11 OS;a
131;145;Lenovo;IdeaPad Slim 3 82H803B6IN Laptop;66;11th Gen Intel Core i7 1165G7;Quad Core, 8 Threads;16GB;DDR4;512GB;SSD;Integrated Intel Iris Xe Graphics;15,6;1920;1080;52101;Windows 11 OS;a
132;146;Infinix;INBook X2 Slim Series Laptop;69;11th Gen Intel Core i3  1115G4;Dual Core, 4 Threads;8GB;LPDDR4X;512GB;SSD;Intel Integrated UHD Graphics;14;1920;1080;28990;Windows 11 OS;a
133;147;HP;Pavilion 15s-fq5190TU Laptop;65;12th Gen Intel Core i7 1255U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;512GB;SSD;Intel Iris Xe;15,6;1920;1080;69490;Windows 11 OS;a
134;148;Acer;Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop;69;13th Gen Intel Core i3 1315U;Hexa Core (2P + 4E), 8 Threads;8GB;LPDDR5;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;39965;Windows 11 OS;a
135;149;Acer;Aspire 5 14 A514-56GM 2023 Gaming Laptop;67;13th Gen Intel Core i5 1335U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;14;1920;1080;54990;Windows 11 OS;a
136;150;Asus;Vivobook 15 X1502ZA-EJ532WS Laptop;64;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe;15,6;1920;1080;46999;Windows 11 OS;a
137;151;Asus;Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop;65;13th Gen Intel Core i5 13500H;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;512GB;SSD;Intel Integrated Iris Xe;15,6;2880;1620;83990;Windows 11 OS;a
138;152;HP;Victus 15-fb0108AX Gaming Laptop;67;5th Gen AMD Ryzen 5  5600H ;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;4GB AMD Radeon RX 6500M Graphics;15,6;1920;1080;51499;Windows 11 OS;a
139;153;Dell;Vostro 3425 M552321WIN9S Laptop;68;5th Gen AMD Ryzen 5 5625U;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Graphics;14;1920;1080;50990;Windows 11 OS;a
140;154;HP;Chromebook 15a-na0012TU Laptop;69;Intel Celeron  N4500;Dual Core, 2 Threads;4GB;LPDDR4x;128GB;Hard-Disk;Intel Integrated UHD Graphics;15,6;1366;768;23990;Chrome OS;a
141;155;Acer;Aspire 3 A315-24P NX.KDESI.003 Laptop;69;7th Gen AMD Ryzen 3 7320U;Quad Core, 8 Threads;8GB;LPDDR5;512GB;SSD;AMD Radeon Graphiics;15,6;1920;1080;27990;Windows 11 OS;a
142;156;HP;Pavilion x360 14-ek1010TU Laptop;70;13th Gen Intel Core i5 1335U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;1TB;SSD;Intel Integrated Iris Xe;14;1920;1080;79990;Windows 11 OS;a
143;157;Samsung;Galaxy Book 3 NP750XFG-KA3IN Laptop;60;13th Gen Intel Core i7 1355U;10 Cores (2P + 8E), 12 Threads;16GB;LPDDR4x;512GB;SSD;Intel Iris Xe Graphics;15,6;1920;1080;84390;Windows 11 OS;a
144;158;Infinix;INBook Y1 Plus Laptop;69;10th Gen Intel Core i3 1005G1;Dual Core, 4 Threads;8GB;LPDDR4X;256GB;SSD;Intel Integrated UHD;15,6;1920;1080;24990;Windows 11 OS;a
145;159;Samsung;Galaxy Book 3 Ultra NP960XFH-XA1IN Laptop;82;13th Gen Intel Core i9 13900H;14 Cores (6P + 8E), 20 Threads;32GB;LPDDR5;1TB;SSD;NVIDIA GeForce RTX 4070;16;2880;1800;281990;Windows 11 OS;a
146;160;Lenovo;IdeaPad 1 15AMN7 82VG00EQIN Laptop;69;AMD Athlon 7120U;Dual Core, 2 Threads;8GB;LPDDR5;512GB;SSD;AMD Radeon 610M Graphics;15,6;1366;768;26590;Windows 11 OS;a
147;161;Infinix;INBook X2 Slim Series XL23 2023 Laptop;60;11th Gen Intel Core i5 1155G7;Quad Core, 8 Threads;16GB;LPDDR4X;1TB;SSD;Intel Integrated Iris Xe;14;1920;1080;37990;Windows 11 OS;a
148;162;Asus;Vivobook Pro 15 M6500RC-HN741WS Laptop;70;6th Gen AMD Ryzen 7 6800H;Octa Core, 16 Threads;16GB;LPDDR5;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;71189;Windows 11 OS;a
149;163;HP;Victus 16-s0095AX Gaming Laptop;76;7th Gen AMD Ryzen 7 7840HS;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 3050;16,1;1920;1080;85999;Windows 11 OS;a
150;164;Lenovo;Yoga 7 82YM0074IN Laptop;80;7th Gen AMD Ryzen 7 7735U;Octa Core, 16 Threads;16GB;DDR5;1TB;SSD;AMD Radeon Graphics;14;2880;1800;93990;Windows 11 OS;a
152;166;Asus;Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop;69;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;512GB;SSD;Intel Iris Xe Graphics;14;3840;2400;84990;Windows 11 OS;a
154;170;Dell;Inspiron 3530 2023 Laptop;69;13th Gen Intel Core i3 1305U;5 Cores (1P + 4E), 6 Threads;8GB;DDR4;1TB;SSD;Intel Integrated UHD;15,6;1920;1080;44190;Windows 11 OS;a
155;172;Acer;Predator 16 NH.QLUSI.005 Laptop;79;13th Gen Intel Core i9 13900HX;24 Cores (8P + 16E), 32 Threads;16GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 4060;16;2560;1600;159990;Windows 11 OS;a
156;173;HP;Victus 15-fb0134AX Gaming Laptop;70;5th Gen AMD Ryzen 5 5600H;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB AMD Radeon RX 6500M Graphics;15,6;1920;1080;52990;Windows 11 OS;a
157;177;Acer;Aspire Lite 2023 AL15-51 Laptop;62;11th Gen Intel Core i5 1155G7;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;15,6;1920;1080;39990;Windows 11 OS;a
158;178;Dell;Inspiron 2023 14 5430 Laptop;63;13th Gen Intel Core i5 1335U;10 Cores (2P + 8E), 12 Threads;16GB;LPDDR5;1TB;SSD;Intel Iris Xe Graphics;14;1920;1200;73990;Windows 11 OS;a
159;179;Lenovo;IdeaPad Gaming 3 82K101L7IN Laptop;70;11th Gen Intel Core i5 11320H;Quad Core, 8 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GTX 1650;15,6;1920;1080;57500;Windows 11 OS;a
160;180;Asus;Vivobook Pro 15 M6500QF-HN521WS Laptop;60;5th Gen AMD Ryzen 5 5600HS;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;59990;Windows 11 OS;a
161;181;Acer;Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop;69;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce GTX 1650;15,6;1920;1080;53990;Windows 11 OS;a
162;182;Asus;VivoBook 14 X415EA-EK326WS Notebook;69;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel Integrated Intel UHD;14;1920;1080;33990;Windows 11 OS;a
163;184;Dell;Inspiron 5630 Laptop;70;13th Gen Intel Core i5 1340P;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;512GB;SSD;Intel Iris Xe Graphics;16;2560;1600;75990;Windows 11 OS;a
164;185;Apple;MacBook Air 15 2023 Laptop;69;Apple M2;Octa Core (4P + 4E);8GB;DDR4;512GB;SSD;10-Core GPU;15,3;2880;1864;144990;Mac OS;a
165;186;Asus;Vivobook 15 X1502ZA-EJ542WS Laptop;64;12th Gen Intel Core i5 12500H ;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;Intel Iris Xe;15,6;1920;1080;60539;Windows 11 OS;a
166;187;Asus;Vivobook 15 M1502QA-EJ742WS Laptop;69;5th Gen AMD Ryzen 7 5800H;Octa Core, 16 Threads;16GB;DDR4;512GB;SSD;AMD Radeon;15,6;1920;1080;56990;Windows OS;a
167;189;HP;Pavilion 15-eg3027TU Laptop;66;13th Gen Intel Core i5 1340p;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Intel Iris Xe Graphics;15,6;1920;1080;75533;Windows 11 OS;a
168;190;Dell;G15-5530 GN553064GRM002ORB1 Gaming Laptop;69;13th Gen Intel Core i5 13450HX;10 Cores (6P + 4E), 16 Threads;8GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 3050;15,6;1920;1080;74990;Windows 11 OS;a
169;191;Asus;TUF Gaming A15 FA577NU-LP082W Gaming Laptop;77;7th Gen AMD Ryzen 7 7735HS;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 4050;15,6;1920;1080;94990;Windows 11 OS;a
170;192;Asus;ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop;77;13th Gen Intel Core i9 13980HX;24 Cores (8P + 16E), 32 Threads;16GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 4060;16;2560;1600;179990;Windows 11 OS;a
171;193;Asus;Vivobook 16X 2023 K3605ZC-MB541WS Laptop;72;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;16;1920;1200;77990;Windows 11 OS;a
172;194;HP;15s-fr5009TU Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;37990;Windows 11 OS;a
173;195;HP;15-fd0013TU Laptop;69;13th Gen Intel Core i5 1335U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;512GB;SSD;Intel Integrated Integrated;15,6;1920;1080;62990;Windows 11 OS;a
174;196;Acer;Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop;78;13th Gen Intel Core i7 13700HX;16 Cores (8P + 8E), 24 Threads;16GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 4060;16;2560;1600;129999;Windows 11 OS;a
175;197;HP;Pavilion 15-eh2050AU Laptop;62;5th Gen AMD Ryzen 5 5625U;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Graphics;15,6;1920;1080;52990;Windows 11 OS;a
176;199;Acer;Predator Helios Neo 16 PHN16-71 Laptop;75;13th Gen Intel Core i7 13700HX;16 Cores (8P + 8E), 24 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 4050;16;1920;1200;104990;Windows 11 OS;a
177;200;Realme;Book Prime CloudPro002 Laptop;62;11th Gen Intel Core i5 11320H;Quad Core, 8 Threads;8GB;LPDDR4X;512GB;SSD;Intel Iris Xe Graphics;14;2160;1440;47999;Windows 11 OS;a
178;201;Acer;Predator Helios Neo 16 PHN16-71 Gaming Laptop;75;13th Gen Intel Core i7 13700HX;16 Cores (8P + 8E), 24 Threads;16GB;DDR5;1TB;SSD;6GB NVIDIA GeForce RTX 4050;16;1920;1200;114499;Windows 11 OS;a
179;202;HP;Pavilion 15-eg2017TU Laptop;60;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;49990;Windows 11 OS;a
180;203;Asus;Vivobook 15 X1502ZA-EJ953WS Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe;15,6;1920;1080;39990;Windows 11 OS;a
181;204;Acer;Nitro 5 AN515-47 2023 Gaming Laptop;73;7th Gen AMD Ryzen 5 7535HS;Hexa Core, 12 Threads;16GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;68990;Windows 11 OS;a
182;205;Acer;Nitro 5 AN515-47 Gaming Laptop;72;7th Gen AMD Ryzen 7 7735HS;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;79990;Windows 11 OS;a
183;206;MSI;GF63 Thin 11UC-1293IN Gaming Laptop;75;11th Gen Intel Core i7 11800H;Octa Core, 16 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA Geforce RTX 3050;15,6;1920;1080;66490;Windows 11 OS;b
184;207;Asus;Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop;70;5th Gen AMD Ryzen 7 5800H;Octa Core, 16 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Graphics;14;1920;1200;69990;Windows 11 OS;a
185;208;Asus;Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop;65;13th Gen Intel Core i5 13500H;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;512GB;SSD;Intel Integrated Iris Xe;15,6;2880;1620;86490;Windows 11 OS;a
186;209;HP;15-fc0025AU Laptop;69;7th Gen AMD Ryzen 3 7320U;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;AMD Radeon AMD;15,6;1920;1080;32790;Windows 11 OS;a
187;210;Asus;ROG Zephyrus Duo 16;69;7th Gen AMD Ryzen 9  7945HX ;16 Cores, 32 Threads;32GB;DDR5;2TB;SSD;16GB NVIDIA GeForce RTX 4090;16;3840;2400;429990;Windows 11 OS;a
188;211;Dell;Vostro 3425 M552321WIN9S Laptop;68;5th Gen AMD Ryzen 5 5625U;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Graphics;14;1920;1080;49990;Windows 11 OS;a
189;212;MSI;Modern 14 C7M-062IN Laptop;62;7th Gen AMD Ryzen 5 7530U;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Radeon AMD;14;1920;1080;43990;Windows 11 OS;a
190;213;MSI;Modern 14 C11M-030IN Laptop;69;11th Gen Intel Core i5 1155G7;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;Intel Integrated Iris Xe;14;1920;1080;36990;Windows 11 OS;a
191;214;MSI;Sword 15 A12VF-401IN Gaming Laptop;79;12th Gen Intel Core i7 12650H;10 Cores (6P + 4E), 16 Threads;16GB;DDR5;1TB;SSD;8GB NVIDIA GeForce RTX 4060;15,6;1920;1080;102990;Windows 11 OS;b
192;215;Acer;Extensa 15 EX215-33 Laptop;69;Intel Core i3 N305;Octa Core, 8 Threads;8GB;LPDDR5;256GB;SSD;Intel Integrated UHD;15,6;1920;1080;29990;Windows 11 OS;a
193;216;HP;Pavilion x360 14-ek1010TU Laptop;70;13th Gen Intel Core i5 1335U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;1TB;SSD;Intel Integrated Iris Xe;14;1920;1080;77889;Windows 11 OS;a
194;218;Samsung;Galaxy Book 3 NP750XFG-KB1IN Laptop;69;13th Gen Intel Core i5 1335U;10 Cores (2P + 8E), 12 Threads;8GB;LPDDR4x;512GB;SSD;Intel Iris Xe Graphics;15,6;1920;1080;69990;Windows 11 OS;a
195;220;Samsung;Galaxy Book 3 360 NP750QFG-KA3IN Laptop;74;13th Gen Intel Core i7 1360P;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR4x;1TB;SSD;Intel Iris Xe Graphics;15,6;1920;1080;138990;Windows 11 OS;a
196;221;HP;Victus 15-fb0777AX Gaming Laptop;67;5th Gen AMD Ryzen 5  5600H ;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;4GB AMD Radeon RX 6500M Graphics;15,6;1920;1080;51990;Windows 11 OS;a
197;222;Samsung;Galaxy Book 3 Laptop;69;13th Gen Intel Core i5 1340P;12 Cores (4P + 8E), 16 Threads;8GB;LPDDR5;512GB;SSD;Intel Iris Xe Graphics;14;1920;1080;69990;Windows 11 OS;a
198;223;Asus;Vivobook Pro 15 OLED M3500QC-L1502WS Gaming Laptop;66;5th Gen AMD Ryzen 5 5600H;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;72990;Windows 11 OS;a
199;224;Asus;Vivobook 16X M1603QA-MB512WS Laptop;67;5th Gen AMD Ryzen 5 5600H;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Vega 7;16;1200;1920;50400;Windows 11 OS;a
200;225;Dell;Latitude 3430 Laptop;60;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;14;1366;768;108000;Windows 11 OS;a
201;226;Dell;Inspiron 3520 Laptop;69;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;1TB;Hard-Disk;Intel Iris Xe Graphics;15,6;1920;1080;50990;Windows 11 OS;a
202;228;Lenovo;IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop;67;11th Gen Intel Core i5 11300H;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050 Graphics;15,6;1920;1080;47990;Windows 11 OS;a
203;229;HP;Omen 16-n0079AX Gaming Laptop;80;6th Gen AMD Ryzen 7  6800H;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;8GB AMD Radeon RX 6650M;16,1;1920;1080;91990;Windows 11 OS;a
204;232;Acer;One 14 Z2-493 Laptop;69;3rd Gen AMD Ryzen 3  3250U;Dual Core, 4 Threads;8GB;DDR4;256GB;SSD;AMD Radeon Graphics;14;1366;768;25449;Windows 11 OS;a
205;233;Acer;Aspire 3 A315-59 Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel Graphics ;15,6;1920;1080;33207;Windows 11 OS;a
206;234;HP;Pavilion 15s-FR5007TU Laptop;69;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe;15,6;1920;1080;52990;Windows 11 OS;a
207;235;Dell;Vostro 3425 Laptop;66;5th Gen AMD Ryzen 5 5625U;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Graphics;14;1920;1080;42434;Windows 11 OS;a
208;236;HP;15s-du3614TU Laptop;65;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;1TB;Hard-Disk;Intel Integrated UHD;15,6;1920;1080;42200;Windows 11 OS;a
209;237;HP;Pavilion 15s-eq2182AU Laptop;60;5th Gen AMD Ryzen 5  5500U ;Hexa Core, 12 Threads;16GB;DDR4;512GB;SSD;AMD Radeon Graphics;15,6;1920;1080;41990;Windows 11 OS;a
210;238;Asus;TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop;79;6th Gen AMD Ryzen 7 6800H ;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 3050 Ti;15,6;1920;1080;80900;Windows 11 OS;a
211;239;Asus;Vivobook 15 Touch X515EA-EZ311WS Laptop;69;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel Integrated UHD Graphics;15,6;1920;1080;38990;Windows 11 OS;a
213;241;Apple;MacBook Air 2022 Laptop;69;Apple M2 Apple M2 Chip;Octa Core;8GB;Unified;512GB;SSD;10-Core GPU;13,6;2560;1664;135990;Mac OS;a
214;242;Asus;Vivobook S15 OLED K3502ZA-L501WS Laptop;64;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;Intel Iris XE Graphics;15,6;1920;1080;72490;Windows 11 OS;a
215;243;Asus;Vivobook S14 OLED S3402ZA-KM501WS Laptop;62;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;14;2880;1800;72490;Windows 11 OS;a
216;245;Dell;Inspiron 3511 Laptop;69;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,56;1920;1080;35990;Windows 11 OS;a
217;246;Xiaomi;Mi Notebook Ultra Laptop;64;11th Gen Intel Core i5 11300H ;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;15,6;3200;2000;45989;Windows 10  OS;a
219;248;Dell;Inspiron 3501 Laptop;69;11th Gen Intel Core i5 1135G7 ;Quad Core, 8 Threads;8GB;DDR4;1TB;Hard-Disk;Intel Iris Xe Graphics;15,6;1920;1080;52500;Windows 10 OS;a
220;249;Dell;Latitude 3410 Laptop;69;10th Gen Intel Core i5 10210U ;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;Intel HD;14;1366;768;59999;Ubuntu OS;a
221;250;Apple;MacBook Air 2020 MGN73HN Laptop;69;Apple M1 Apple M1 Chip;Octa Core (4P + 4E);8GB;DDR4;512GB;SSD;Apple M1 Integrated Graphics;13,3;2560;1600;112990;Mac OS;a
223;252;Avita;Pura NS14A6 Laptop;69;3rd Gen AMD Ryzen 5  3500U;Quad Core, 8 Threads;8GB;DDR4;512GB;SSD;AMD Radeon Vega 8;14;1920;1080;21990;Windows 10 OS;a
224;253;Apple;MacBook Pro 16 Laptop;81;9th Gen Intel Core i9;Octa Core;32GB;DDR4;2TB;SSD;4GB Radeon Pro 5500M;16;3072;1920;201498;Mac Catalina OS;a
225;255;HP;Victus 15-fa1145TX Gaming Laptop;72;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;16GB;DDR4;1TB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;64990;Windows 11 OS;a
228;258;Lenovo;Thinkpad E14 G4 21E3S00P00 Laptop;63;12th Gen Intel Core i5 1235U;10 Cores (2P + 8E), 12 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;14;1920;1080;68999;DOS OS;c
230;260;Lenovo;Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop;66;7th Gen AMD Ryzen 5 7535HS;Hexa Core, 12 Threads;8GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;60990;Windows 11 OS;a
231;261;Dell;Inspiron 3520 IN3520P9K46002ORS1 Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;40990;Windows 11 OS;a
232;262;Lenovo;LOQ 15APH8 82XT004KIN Gaming Laptop;75;7th Gen AMD Ryzen 7 7840HS;Octa Core, 16 Threads;16GB;DDR5;512GB;SSD;8GB NVIDIA GeForce RTX 4060;15,6;1920;1080;107690;Windows 11 OS;a
233;263;Lenovo;V15 G4 Laptop;69;AMD Athlon Silver 7120U;Dual Core, 2 Threads;8GB;LPDDR5;512GB;SSD;AMD Radeon 610M;15,6;1920;1080;25490;Windows 11 OS;a
234;264;HP;15s-FR5012TU Laptop;69;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;38999;Windows 11 OS;a
235;265;Infinix;INBook Y1 Plus 15 XL28 Laptop;69;10th Gen Intel Core i5 1035G1;Quad Core, 8 Threads;8GB;LPDDR4X;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;59990;Windows 11 OS;a
236;266;HP;Victus 15-FA1098TX Laptop;64;12th Gen Intel Core i5 12450H;Octa Core (4P + 4E), 12 Threads;8GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;60990;Windows 11 OS;a
237;267;HP;Victus 15-fb1002AX Gaming Laptop;70;7th Gen AMD Ryzen 5 7535HS;Hexa Core, 12 Threads;8GB;DDR5;512GB;SSD;4GB NVIDIA GeForce RTX 2050;15,6;1920;1080;55500;Windows 11 OS;a
